Category;png links;figure;;;;
Oncologic Disorders;wordcloud_genereviews/Multiple endocrine neoplasia type 1 (MEN1).png;figures/MEN1.png;;;;
Oncologic Disorders;wordcloud_genereviews/Dyskeratosis congenita.png;;;;;
Neurological disorders;wordcloud_genereviews/Fragile X.png;figures/Fragile_X.png;;;;
Oncologic Disorders;wordcloud_genereviews/Familial Adenomatous Polyposis.png;figures/FAP.png;;;;
Biochemical Disorders;wordcloud_genereviews/Urea cycle disorders.png;figures/Urea_Cycle.jpg;;;;
Neurological disorders;wordcloud_genereviews/Neurofibromatosis type I.png;figures/NF1.png;;;;
Skeletal dysplasias;wordcloud_genereviews/Achondroplasia.png;figures/Achrondroplasia.jpeg;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Usher syndrome.png;figures/Usher.png;;;;
Hematologic Disorders;wordcloud_genereviews/Alpha thalassemia.png;figures/Thalamsemia.jpg;;;;
Connective Tissue Disorders;;figures/EDS classic.jpeg;;;;
Multiple Congenital Anomalies;;figures/CHARGE.jpeg;;;;
Dermatological Disorders;wordcloud_genereviews/Incontinentia pigmenti.png;figures/Incontinentia Pigmenti.jpeg;;;;
Neurological disorders;wordcloud_genereviews/Angelman syndrome.png;figures/AS.jpeg;;;;
Cardiovascular Disease;wordcloud_genereviews/Alagille syndrome.png;figures/Alagille.jpeg;;;;
Multiple Congenital Anomalies;;figures/1p36.jpeg;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Hermansky-Pudlak Syndrome.png;figures/HPS.png;;;;
Mitochondrial Disorders;wordcloud_genereviews/Mitochondrial DNA Deletion Syndromes.png;;;;;
Disorders of the Immune System;wordcloud_genereviews/WAS-related disorders.png;figures/WAS-related disorders.png;;;;
Connective Tissue Disorders;wordcloud_genereviews/Loeys-Dietz Syndrome (LDS).png;figures/Loeys-Dietz Syndrome.png;;;;
Skeletal dysplasias;wordcloud_genereviews/Hereditary Multiple Osteochondromas.png;figures/Osteochondromas.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Fryns syndrome.png;figures/Fryns.jpeg;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Greig Cephalopolysyndactly Syndrome.png;figures/Creig Cephalopolysyndactyly.jpeg;;;;
Skeletal dysplasias;wordcloud_genereviews/Hypochondroplasia.png;figures/Hypochondroplasia.png;;;;
Connective Tissue Disorders;wordcloud_genereviews/Stickler Syndrome.png;figures/Stickler.png;;;;
Connective Tissue Disorders;;figures/EDS Kyphoscoliotic.jpg;;;;
Mitochondrial Disorders;wordcloud_genereviews/MERRF (myoclonic epilepsy with ragged red fibers).png;figures/MERRF.png;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Congenital hearing loss - Connexin 26 and 30.png;figures/GJB2_6.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Prader-Willi Syndrome.png;figures/Prader-Willi.png;;;;
Neurological disorders;wordcloud_genereviews/CADASIL (Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy).png;figures/CADASIL.png;;;;
Cardiovascular Disease;wordcloud_genereviews/Brugada Syndrome.png;figures/Brugada.png;;;;
Dermatological Disorders;wordcloud_genereviews/Hidrotic ectodermal dysplasia 2.png;figures/Hidrotic.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Coffin-Lowry syndrome.png;figures/Coffin-Lowry.png;;;;
Connective Tissue Disorders;wordcloud_genereviews/Congenital contractural arachnodactly (Beals syndrome).png;figures/Beals.jpeg;;;;
Hematologic Disorders;wordcloud_genereviews/Beta-thalassemia.png;figures/Thalasemia beta.jpeg;;;;
Skeletal dysplasias;wordcloud_genereviews/Cleidocranial Dysplasia Spectrum Disorder.png;figures/Cleidocranial.png;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Pendred syndrome.png;figures/Pendred.png;;;;
Biochemical Disorders;;figures/Arylsulfatase.png;;;;
Biochemical Disorders;wordcloud_genereviews/Krabbe Disease.png;figures/Krabbe.jpeg;;;;
Oncologic Disorders;wordcloud_genereviews/Juvenile Polyposis Syndrome.png;;;;;
Neurological disorders;wordcloud_genereviews/Huntington Disease.png;figures/HD.png;;;;
Oncologic Disorders;wordcloud_genereviews/BRCA1 and BRCA2 Hereditary Breast and Ovarian Cancer.png;figures/BRCA1_2.png;;;;
Oncologic Disorders;wordcloud_genereviews/Multiple Endocrine Neoplasia Type 2 (MEN2).png;figures/MEN2.jpeg;;;;
Endocrine Disorders;wordcloud_genereviews/X-linked adrenal hypoplasia congenita.png;figures/X-linked Adrenal Hypoplasia Congenita.jpeg;;;;
Neurological disorders;wordcloud_genereviews/X-linked adrenoleukodystrophy.png;figures/X-linked Adrenoleukodystrophy.jpeg;;;;
Cardiovascular Disease;wordcloud_genereviews/Cardio-facio-cutaneous Syndrome (CFC Syndrome).png;figures/Cardio-facio-cutaneous Syndrome.jpg;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Rubinstein-Taybi syndrome.png;figures/Rubinstein.png;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Blepharophimosis, ptosis, and epicanthus inversus (BPES).png;figures/BPES.jpeg;;;;
Disorders of the Immune System;;figures/BTK.jpeg;;;;
Biochemical Disorders;;figures/Nonketotic.png;;;;
Biochemical Disorders;wordcloud_genereviews/Propionic Acidemia.png;figures/PA.jpeg;;;;
Endocrine Disorders;;figures/Klinefelter.jpeg;;;;
Oncologic Disorders;wordcloud_genereviews/Xeroderma Pigmentosum.png;figures/Xeroderma.png;;;;
Oncologic Disorders;;;;;;
Cardiovascular Disease;wordcloud_genereviews/Noonan syndrome with multiple lentigines (LEOPARD).png;figures/Leopard.png;;;;
Neuromuscular Disorders;wordcloud_genereviews/Myotonic dystrophy type I.png;figures/MD1.jpeg;;;;
Multiple Congenital Anomalies;;figures/Edwards.jpeg;;;;
Multiple Congenital Anomalies;;figures/Pallister Killian.jpeg;;;;
Neuromuscular Disorders;wordcloud_genereviews/Duchenne & Becker Muscular Dystrophy.png;figures/DMD.jpeg;;;;
Premature Aging;wordcloud_genereviews/Cockayne Syndrome.png;figures/Cockayne.png;;;;
Hematologic Disorders;wordcloud_genereviews/Factor V Leiden Thrombophilia.png;figures/FactorVLeiden.jpeg;;;;
Chromosome breakage;wordcloud_genereviews/Fanconi anemia.png;figures/Fanconi Anemia.jpeg;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Bardet-Biedl syndrome.png;figures/BBS.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Branchio-Oto-Renal syndrome.png;figures/Branchio-Oto-Renal.png;;;;
Chromosome breakage;wordcloud_genereviews/Bloom’s syndrome.png;figures/Bloom.jpeg;;;;
Hematologic Disorders;wordcloud_genereviews/Hemophilia A.png;figures/F8.jpeg;;;;
Premature Aging;wordcloud_genereviews/Hutchinson-Gilford Progeria Syndrome.png;figures/Hutchinson.png;;;;
Multiple Congenital Anomalies;;figures/T21.jpeg;;;;
Biochemical Disorders;;figures/G6PD.jpeg;;;;
Neuromuscular Disorders;wordcloud_genereviews/Charcot Marie Tooth Disease.png;figures/CMT.jpeg;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/PAFAH1B1-Associated Lissencephaly.png;figures/PAFAH1B1.png;;;;
Cardiovascular Disease;wordcloud_genereviews/Noonan Syndrome.png;figures/Noonan.jpeg;;;;
Neuromuscular Disorders;wordcloud_genereviews/Limb-Girdle Muscular Dystrophy.png;figures/LGMD.jpeg;;;;
Endocrine Disorders;wordcloud_genereviews/Isolated Gonadotropin-Releasing Hormone Deficiency (Kallman syndrome).png;figures/Kallman.jpeg;;;;
Overgrowth disorders;wordcloud_genereviews/Beckwith-Wiedemann Syndrome.png;figures/Beckwith-Wiedemann .png;;;;
Biochemical Disorders;;figures/Isolated Methylmalonic.png;;;;
Biochemical Disorders;;figures/von Gierke disease.jpeg;;;;
Disorders of the Immune System;wordcloud_genereviews/Familial Mediterranean Fever.png;figures/FMF.png;;;;
Endocrine Disorders;;figures/Turner.jpeg;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Smith-Magenis syndrome.png;figures/Smith-Magenis.png;;;;
Neurological disorders;;figures/EOAD.png;;;;
Cardiovascular Disease;wordcloud_genereviews/Costello Syndrome.png;figures/Costello.jpeg;;;;
Dermatological Disorders;wordcloud_genereviews/Oculocutaneous albinism.png;figures/OCA1_4.png;;;;
Biochemical Disorders;wordcloud_genereviews/Phenylalanine Hydroxylase Deficiency.png;figures/PKU.jpeg;;;;
Biochemical Disorders;;figures/Pompe.jpg;;;;
Endocrine Disorders;wordcloud_genereviews/6q24-related transient neonatal diabetes mellitus.png;figures/Neonatal Diabetes.png;;;;
Neuromuscular Disorders;wordcloud_genereviews/Hereditary Neuropathy with Liability to Pressure Palsies.png;figures/Liability.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Smith - Lemli- Opitz.png;figures/SLOS.jpg;;;;
Multiple Congenital Anomalies;;figures/Triploidy.png;;;;
Cardiovascular Disease;wordcloud_genereviews/Hereditary hemorrhagic telangiectasia.png;figures/HHT.jpeg;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/VACTERL (VATER) Association.png;figures/VACTERL.jpeg;;;;
Overgrowth disorders;wordcloud_genereviews/Sotos Syndrome.png;figures/Sotos.png;;;;
Endocrine Disorders;;figures/CAIS.jpeg;;;;
Multiple Congenital Anomalies;;figures/Aarskog.png;;;;
Biochemical Disorders;;figures/Isovaleric acidemia.png;;;;
Chromosome breakage;wordcloud_genereviews/Ataxia-telangiectasia.png;figures/ATM.jpeg;;;;
Hematologic Disorders;wordcloud_genereviews/Hemophilia B.png;figures/F9.jpeg;;;;
Pulmonary Disorders;wordcloud_genereviews/Alpha-1 Antitrypsin Deficiency.png;figures/AAT.jpeg;;;;
Neuromuscular Disorders;wordcloud_genereviews/Amyotrophic lateral sclerosis.png;figures/ALS.png;;;;
Disorders of Hearing and Vision;;figures/WAGR.png;;;;
Neuromuscular Disorders;wordcloud_genereviews/Spinal muscular atrophy.png;figures/SMA.jpg;;;;
Oncologic Disorders;;;;;;
Oncologic Disorders;wordcloud_genereviews/Tuberous Sclerosis Complex.png;figures/TSC.jpeg;;;;
Oncologic Disorders;wordcloud_genereviews/Von Hippel-Lindau Syndrome.png;figures/VHL.jpeg;;;;
Neuromuscular Disorders;;figures/Nemaline Myopathy.png;;;;
Oncologic Disorders;;;;;;
Neurological disorders;wordcloud_genereviews/Wilson Disease.png;figures/Wilson's.png;;;;
Neurological disorders;wordcloud_genereviews/ATP7A-Related Copper Transport Disorders.png;figures/Menkes.jpeg;;;;
Pulmonary Disorders;wordcloud_genereviews/Cystic Fibrosis and Congenital Absence of the Vas Deferens.png;figures/CF.png;;;;
Hematologic Disorders;wordcloud_genereviews/HFE Hemochromatosis.png;;;;;
Cardiovascular Disease;wordcloud_genereviews/Williams Syndrome.png;figures/Williams.jpeg;;;;
Biochemical Disorders;wordcloud_genereviews/GBL1-Related Disorders.png;figures/GM1.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Antley-Bixler syndrome.png;figures/Antley Bixler.jpeg;;;;
Premature Aging;wordcloud_genereviews/Ataxia with Oculomotor Apraxia Type 1 and Type 2.png;;;;;
Endocrine Disorders;wordcloud_genereviews/21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia.png;figures/21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia.jpeg;;;;
Cardiovascular Disease;wordcloud_genereviews/Holt-Oram Syndrome.png;figures/Holt Oram.jpeg;;;;
Multiple Congenital Anomalies;;figures/Wolf-Hirschhorn-syndrome.jpeg;;;;
Neuromuscular Disorders;wordcloud_genereviews/Friedreich Ataxia.png;figures/Friedreich Ataxia.jpeg;;;;
Cardiovascular Disease;wordcloud_genereviews/Long QT syndrome.png;figures/Long QT Syndrome.png;;;;
Multiple Congenital Anomalies;;figures/Patau.png;;;;
Endocrine Disorders;;figures/McCune-Albright.jpeg;;;;
Biochemical Disorders;wordcloud_genereviews/Fabry disease.png;figures/Fabry.png;;;;
Biochemical Disorders;wordcloud_genereviews/Maple Syrup Urine Disease.png;figures/Maple Syrup Urine Disease.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Cornelia de Lange syndrome.png;figures/CdLS.jpeg;;;;
Connective Tissue Disorders;wordcloud_genereviews/Ehlers-Danlos syndrome vascular (type IV).png;figures/Ehlers-Danlos syndrome vascular.png;;;;
Biochemical Disorders;wordcloud_genereviews/Galactosemia.png;figures/GALT_Galactosemia.jpeg;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Waardenburg syndrome.png;figures/Waardenburg.png;;;;
Renal Disorders;wordcloud_genereviews/Alport Syndrome.png;figures/Alport Syndrome.png;;;;
Neurological disorders;wordcloud_genereviews/Rett syndrome.png;figures/Rett.jpeg;;;;
Biochemical Disorders;;;;;;
Neuromuscular Disorders;;figures/Tay-Sachs.png;;;;
Oncologic Disorders;wordcloud_genereviews/Peutz-Jeghers Syndrome.png;figures/Peutz Jeghers.png;;;;
Oncologic Disorders;wordcloud_genereviews/Neurofibromatosis type 2.png;figures/NF2.png;;;;
Skeletal dysplasias;;figures/Osteogenesis Imperfecta.png;;;;
Biochemical Disorders;wordcloud_genereviews/Gaucher Disease.png;figures/Gaucher.jpeg;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Leber Hereditary Optic Neuropathy.png;figures/LHON.jpg;;;;
Skeletal dysplasias;wordcloud_genereviews/Diastrophic Dysplasia.png;figures/Diastrophic Dysplasia.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Joubert syndrome.png;figures/Joubert.jpeg;;;;
Oncologic Disorders;wordcloud_genereviews/Li-Fraumeni Syndrome.png;figures/LFS.png;;;;
Neurological disorders;wordcloud_genereviews/Canavan Disease.png;figures/Canavan.png;;;;
Mitochondrial Disorders;wordcloud_genereviews/Mitochondrial DNA-Associated Leigh Syndrome and NARP.png;figures/NARP.png;;;;
Dermatological Disorders;wordcloud_genereviews/Hypohidrotic ectodermal dysplasia.png;figures/ectodermal-dysplasia.jpeg;;;;
Connective Tissue Disorders;wordcloud_genereviews/Marfan Syndrome.png;figures/Marfan.jpeg;;;;
Oncologic Disorders;;figures/Lynch.jpg;;;;
Cardiovascular Disease;;figures/DiGeorge.jpeg;;;;
Neurological disorders;wordcloud_genereviews/Familial Dysautonomia.png;figures/FD.jpg;;;;
Mitochondrial Disorders;wordcloud_genereviews/MELAS (mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes).png;figures/MELAS.png;;;;
Multiple Congenital Anomalies;wordcloud_genereviews/Kabuki syndrome.png;figures/Kabuki.jpeg;;;;
Disorders of Hearing and Vision;wordcloud_genereviews/Jervell and Lange-Nielsen Syndrome.png;figures/Jervell_Lange_Nielson.jpeg;;;;
Skeletal dysplasias;;figures/FGFR.png;;;;
Skeletal dysplasias;wordcloud_genereviews/Hypophosphatasia.png;figures/dddt-154922-f01.jpeg;;;;
Overgrowth disorders;wordcloud_genereviews/Russell-Silver Syndrome.png;figures/Russell.png;;;;
Skeletal dysplasias;wordcloud_genereviews/Saethre-Chotzen Syndrome.png;figures/Saethre.png;;;;
Oncologic Disorders;wordcloud_genereviews/PTEN Hamartoma Tumor Syndrome.png;figures/Cowden_PTEN.jpeg;;;;
Neuromuscular Disorders;wordcloud_genereviews/Syndromic Congenital Muscular Dystrophy.png;figures/Fukuyama.jpeg;;;;
Oncologic Disorders;wordcloud_genereviews/Retinoblastoma.png;;;;;
Neurological disorders;wordcloud_genereviews/Parkinson Disease (Parkin-type).png;;;;;
Biochemical Disorders;wordcloud_genereviews/Glutaric acidemia Type I.png;figures/GA1.png;;;;
Renal Disorders;;figures/PKD.png;;;;
Hematologic Disorders;wordcloud_genereviews/Acute intermittent porphyria (AIP).png;figures/AIP.png;;;;
Connective Tissue Disorders;wordcloud_genereviews/Ehlers-Danlos syndrome hypermobility (type III).png;figures/hypermobility-beighton-scoring-system-WEB.jpeg;;;;
Biochemical Disorders;wordcloud_genereviews/Tyrosinemia type I.png;figures/Tyrosinemia type I.png;;;;
Multiple Congenital Anomalies;;figures/Cri-du-Chat.jpeg;;;;